Created,7/23/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised (F),11/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total
 (1)","WSC with Reports Issued Total 
(1.1)",WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),"WSC Pending Total 
 (1.2)","WSC Pending a Due Process Hearing 
(1.2a)","WSC Withdrawn or Dismissed
(1.3)",Mediation Requests Total (2),"Mediations Held Total
 (2.1)","Mediations Held Related to Due Process Complaints
(2.1a)",Mediation Agreements Related to Due Process Complaints (2.1ai),"Mediations Held Not Related to Due Process Complaints
 (2.1b)",Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),"DPC Hearings (fully adjudicated) Total 
(3.2)","DPC Written Decisions within Timeline 
(3.2a)","DPC Written Decisions within Extended Timelines 
(3.2b)",DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),"EDPC Expedited Hearings (fully adjudicated) Total 
(4.2)","EDPC Expedited Hearings - Change of Placement Ordered
 (4.2a)",EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2010,Nevada                                                      ,8,7,0,7,0,1,0,0,2,0,0,0,0,0,0,2,69,62,35,2,0,2,15,52,10,9,6,0,0,0,10
2010,New Hampshire                                               ,64,38,22,38,0,0,0,26,32,30,8,6,22,12,0,2,58,14,10,12,5,7,0,46,0,0,0,0,0,0,0
2010,New Jersey                                                  ,219,102,36,72,11,19,10,98,687,536,308,65,228,96,31,120,906,33,20,48,36,11,212,646,7,0,0,6,0,0,1
2010,New Mexico                                                  ,37,22,17,21,0,0,0,15,36,32,16,10,16,15,2,2,44,17,17,2,0,2,11,31,0,0,0,0,0,0,0
2010,New York                                                    ,283,201,167,179,22,6,0,76,186,144,6,5,138,115,6,36,6147,5492,504,381,81,240,1188,4578,34,34,8,6,2,5,23
2010,North Carolina                                              ,75,44,28,38,5,0,0,31,64,33,11,5,22,13,5,26,72,49,21,4,1,3,13,55,8,7,3,0,0,1,7
2010,North Dakota                                                ,4,3,1,3,0,0,0,1,2,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2010,Northern Marianas                                           ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,Ohio                                                        ,251,82,30,63,19,11,4,158,140,91,36,28,55,41,21,28,135,57,28,1,1,0,28,106,18,9,7,0,0,0,18
2010,Oklahoma                                                    ,37,34,34,33,1,0,0,3,22,18,3,2,15,15,0,4,27,18,7,1,0,1,3,23,1,1,0,0,0,0,1
2010,Oregon                                                      ,37,18,14,13,5,0,0,19,62,42,16,14,26,24,4,16,29,1,0,0,0,0,9,20,1,1,0,0,0,0,1
2010,Pennsylvania                                                ,258,125,85,124,1,6,6,127,442,217,27,15,190,151,64,161,722,337,128,61,17,44,130,531,20,12,11,3,2,0,17
2010,Puerto Rico                                                 ,67,59,34,57,2,0,0,8,587,315,275,258,40,38,42,230,1918,610,375,900,620,79,252,766,2,0,0,2,0,0,0
2010,Rhode Island                                                ,36,33,27,32,0,0,0,3,77,59,0,0,59,39,1,17,24,4,4,10,6,3,2,12,1,0,0,0,0,1,0
2010,South Carolina                                              ,41,28,24,28,0,0,0,13,4,2,1,1,1,1,0,2,12,8,6,0,0,0,0,12,1,1,1,0,0,0,1
2010,South Dakota                                                ,7,6,4,6,0,0,0,1,4,4,0,0,4,3,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0
2010,Tennessee                                                   ,111,65,22,65,0,28,18,18,45,23,14,13,9,7,11,11,73,19,13,0,0,0,9,64,1,1,0,0,0,0,1
2010,Texas                                                       ,327,150,73,146,4,11,11,166,297,190,112,87,78,65,49,58,293,89,20,14,0,14,63,216,12,6,4,0,0,0,12
2010,Utah                                                        ,20,19,6,19,0,1,0,0,7,6,3,2,3,3,0,1,9,4,4,0,0,0,0,9,0,0,0,0,0,0,0
2010,Vermont                                                     ,15,13,9,12,1,0,0,2,32,22,6,5,16,14,1,9,8,1,1,0,0,0,0,8,0,0,0,0,0,0,0
2010,Virgin Islands                                              ,14,0,0,0,0,0,0,14,7,4,3,3,1,1,0,3,14,6,6,0,0,0,2,12,0,0,0,0,0,0,0
2010,Virginia                                                    ,160,105,53,93,12,1,0,54,123,87,12,9,75,59,12,24,65,44,25,9,8,1,1,55,10,6,5,1,0,0,9
2010,Washington                                                  ,47,41,37,39,2,2,2,4,47,27,7,5,20,16,0,20,102,62,14,10,2,8,23,69,10,8,1,2,1,0,8
2010,West Virginia                                               ,41,22,18,20,1,0,0,19,18,17,4,3,13,7,0,1,13,3,3,3,0,3,1,9,0,0,0,0,0,0,0
2010,Wisconsin                                                   ,54,40,28,40,0,0,0,14,76,52,7,5,45,40,5,19,24,9,5,3,0,3,3,18,0,0,0,0,0,0,0
2010,Wyoming                                                     ,7,5,4,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,"50 states, D.C., and P.R (including BIE schools)            ",5004,3187,2069,2944,202,127,72,1690,8684,5515,2781,1831,2734,2110,725,2444,17363,9563,2243,1997,1064,655,3162,12204,374,197,97,47,11,16,311
2010,U.S. and Outlying Areas                                     ,5035,3201,2079,2958,202,127,72,1707,8693,5519,2784,1834,2735,2111,725,2449,17380,9571,2251,1997,1064,655,3164,12219,374,197,97,47,11,16,311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -  Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
