Extraction Date:,3/19/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total

 (1)","WSC with Reports Issued Total 

(1.1)",WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),"WSC Pending Total 

 (1.2)","WSC Pending a Due Process Hearing 

(1.2a)","WSC Withdrawn or Dismissed

(1.3)",Mediation Requests Total (2),"Mediations Held Total

 (2.1)","Mediations Held Related to Due Process Complaints

(2.1a)",Mediation Agreements Related to Due Process Complaints (2.1ai),"Mediations Held Not Related to Due Process Complaints

 (2.1b)",Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),"DPC Hearings (fully adjudicated) Total 

(3.2)","DPC Written Decisions within Timeline 

(3.2a)","DPC Written Decisions within Extended Timelines 

(3.2b)",DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),"EDPC Expedited Hearings (fully adjudicated) Total 

(4.2)","EDPC Expedited Hearings - Change of Placement Ordered

 (4.2a)",EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2011-2012,Montana,5,2,2,2,0,1,0,2,2,2,2,0,0,0,0,0,4,1,1,0,0,0,3,1,0,0,0,0,0,0,0
2011-2012,Nebraska,10,9,5,8,1,0,0,1,8,7,0,0,7,6,0,1,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2011-2012,Nevada,20,16,5,14,2,3,1,1,5,4,0,0,4,4,0,1,77,70,48,2,2,0,17,58,9,9,8,0,0,0,9
2011-2012,New Hampshire,66,32,17,31,0,0,0,34,29,23,9,7,14,11,2,4,41,3,3,6,3,3,5,30,0,0,0,0,0,0,0
2011-2012,New Jersey,194,117,35,107,9,26,9,51,688,604,324,75,280,103,8,76,801,20,17,42,30,11,127,632,10,4,0,1,0,0,9
2011-2012,New Mexico,47,23,21,23,0,0,0,24,51,46,27,21,19,19,1,4,36,6,6,3,0,3,5,28,0,0,0,0,0,0,0
2011-2012,New York,229,150,123,144,6,1,0,78,253,157,5,5,152,130,27,69,6116,5469,480,693,134,460,967,4456,32,24,5,5,2,9,18
2011-2012,North Carolina,79,55,42,51,3,0,0,24,59,37,15,12,22,16,4,18,56,33,14,4,0,4,7,45,8,7,2,0,0,2,6
2011-2012,North Dakota,2,0,0,0,0,0,0,2,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Northern Marianas,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Ohio,251,59,36,47,12,27,3,165,144,106,51,28,55,43,5,33,120,52,23,3,2,1,7,110,9,5,4,0,0,0,9
2011-2012,Oklahoma                                                    ,18,18,5,13,0,0,0,11,15,12,0,0,12,11,0,3,13,6,4,0,0,0,2,11,1,1,0,0,0,0,1
2011-2012,Oregon,36,17,8,11,6,0,0,19,58,38,15,12,23,22,10,10,22,22,1,0,0,0,7,15,0,0,0,0,0,0,0
2011-2012,Pennsylvania,270,123,81,123,0,7,7,140,373,198,22,12,176,146,38,137,838,374,131,64,12,52,128,646,26,6,3,3,1,1,22
2011-2012,Puerto Rico,86,75,46,69,6,0,0,11,652,454,411,302,43,42,4,194,1781,785,439,887,589,138,79,815,2,1,1,0,0,0,2
2011-2012,Republic of Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Rhode Island,27,21,13,21,0,0,0,6,50,26,0,0,26,23,0,24,39,20,16,3,1,2,0,36,1,0,0,0,0,0,1
2011-2012,South Carolina,36,25,25,25,0,0,0,11,5,2,0,0,2,2,0,3,7,6,3,0,0,0,0,7,2,1,0,0,0,0,2
2011-2012,South Dakota,4,3,2,2,0,0,0,1,4,4,1,0,3,3,0,0,4,4,0,2,0,2,0,2,0,0,0,0,0,0,0
2011-2012,Tennessee,95,50,18,50,0,10,10,35,32,19,9,7,10,7,0,13,69,13,9,3,0,3,0,66,3,1,1,0,0,0,3
2011-2012,Texas,301,168,69,163,5,13,10,120,319,188,119,90,69,55,71,60,359,152,45,13,2,10,65,281,15,11,5,4,1,1,10
2011-2012,Utah,11,10,7,9,1,1,0,0,3,3,2,0,1,1,0,0,6,4,3,2,1,1,0,4,0,0,0,0,0,0,0
2011-2012,Vermont,24,11,8,10,1,0,0,13,52,47,19,12,28,22,0,5,26,0,0,3,3,0,0,23,0,0,0,0,0,0,0
2011-2012,Virgin Islands,1,0,0,0,0,0,0,1,2,1,1,1,0,0,1,0,8,5,4,1,1,0,1,6,0,0,0,0,0,0,0
2011-2012,Virginia,136,110,61,93,17,0,0,26,125,107,12,6,95,75,0,18,45,33,17,3,2,1,7,35,3,2,2,0,0,0,3
2011-2012,Washington,66,56,47,56,0,2,0,8,60,43,13,12,30,24,1,16,93,46,16,9,4,5,12,72,12,7,5,1,0,0,11
2011-2012,West Virginia,41,17,15,15,2,0,0,24,23,18,1,0,17,15,0,5,15,14,13,2,0,2,0,13,0,0,0,0,0,0,0
2011-2012,Wisconsin,63,51,25,51,0,0,0,12,49,35,9,4,26,25,0,14,31,10,5,2,1,1,0,29,3,0,0,0,0,0,3
2011-2012,Wyoming,15,11,9,10,1,0,0,4,7,6,0,0,6,1,0,1,3,2,1,1,0,1,0,2,1,1,1,0,0,0,1
2011-2012,"US, Outlying Areas, and Freely Associated States",5025,3223,2332,3017,168,130,53,1683,9219,6055,3223,1978,2832,2171,884,2280,17118,9244,1992,2262,1043,948,2079,12777,370,176,81,43,11,19,308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -  Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
