Created,10/7/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,4/13/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State," Written Signed Complaints Total
 (1)","WSC With Reports Issued Total 
(1.1)",WSC Reports with Finding (1.1a),WSC Reports with Timelines (1.1b),WSC Reports with Extended Timelines (1.1c),"WSC Complaints Pending Total
 (1.2)"," WSC Complaints Pending a due Process Hearing 
(1.2a)","WSC Complaints Withdrawn or Dismissed Total 
(1.3)", Mediation Requests total (2)," Mediations Total
 (2.1)"," Mediations Related to due Process 
(2.1a)", Mediation Agreements Related to due process - Complaints (2.1ai)," Mediations not Related to due Process - Complaints
 (2.1b)", Mediation Agreements not Related to due process - complaints (2.1bi), Mediations not Held (including pending) Total (2.2),Hearing Requests Total (3),HR - Resolution Sessions Total (3.1), HR - Resolutions - Settlement Agreements (3.1a),"Hearings (fully adjudicated) Total 
(3.2)","Hearings - Decisions w/i Timeline 
(3.2a)","Hearings - Decisions w/i Extended Timeline 
(3.2b)",HR - Resolved without a Hearing Total (3.3),Expedited Hearing Requests Total (4),EHR - Resolution Sessions Total (4.1),Resolution Sessions - Settlement Agreements (4.1a),"EHR - Expedited Hearings (fully adjudicated) Total 
(4.2)","EHR - Expedited Hearings - Change of Placement Ordered
 (4.2a)"
2008,North Carolina                                              ,97,74,51,67,7,0,0,23,57,30,10,5,20,19,27,60,43,31,2,0,2,46,6,6,4,0,0
2008,North Dakota                                                ,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Northern Marianas                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Ohio                                                        ,195,68,53,46,22,5,5,122,198,184,71,57,113,88,14,179,59,31,12,2,10,167,27,13,11,2,1
2008,Oklahoma                                                    ,40,29,13,27,2,1,1,10,35,11,1,1,10,10,24,23,6,6,0,0,0,23,0,0,0,0,0
2008,Oregon                                                      ,46,24,14,23,1,2,0,20,60,37,10,9,27,20,23,23,1,1,2,0,2,18,1,0,0,0,0
2008,Pennsylvania                                                ,295,162,99,161,1,6,6,127,403,196,65,22,131,129,207,782,338,139,54,24,30,507,22,6,6,4,1
2008,Puerto Rico                                                 ,78,67,51,65,2,0,0,11,884,779,661,480,118,105,105,"1,993",740,390,"1,010",515,18,927,0,0,0,0,0
2008,Rhode Island                                                ,32,27,19,21,6,1,1,4,60,60,0,0,60,48,0,26,17,7,9,2,7,12,1,1,1,0,0
2008,South Carolina                                              ,73,60,53,60,0,0,0,13,6,4,0,0,4,3,2,15,10,6,4,2,2,11,2,2,2,0,0
2008,South Dakota                                                ,4,4,3,4,0,0,0,0,1,1,1,1,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0
2008,Tennessee                                                   ,87,54,18,44,10,24,9,9,28,18,6,5,12,10,10,49,10,6,2,0,2,38,1,1,1,0,0
2008,Texas                                                       ,355,145,73,140,5,14,13,196,314,191,121,96,70,51,123,296,112,32,33,4,29,254,8,4,2,2,0
2008,Utah                                                        ,11,10,8,8,2,0,0,1,12,9,0,0,9,8,3,2,2,1,1,0,1,1,0,0,0,0,0
2008,Virgin Islands                                              ,14,13,12,12,1,0,0,1,10,9,5,5,4,4,1,11,2,2,3,2,1,7,0,0,0,0,0
2008,Vermont                                                     ,17,11,5,10,1,1,1,5,33,25,18,14,7,6,8,30,6,5,0,0,0,26,0,0,0,0,0
2008,Virginia                                                    ,121,80,47,60,20,3,0,38,105,88,24,15,64,59,17,81,44,17,14,11,2,67,12,9,3,2,0
2008,Washington                                                  ,58,48,37,20,17,1,1,9,81,36,5,4,31,28,45,124,73,24,6,2,4,92,8,6,0,1,0
2008,West Virginia                                               ,37,19,14,10,9,0,0,18,17,16,3,1,13,9,1,20,4,4,3,1,2,12,1,0,0,1,1
2008,Wisconsin                                                   ,83,59,45,57,1,1,1,23,80,54,12,9,42,41,26,33,10,6,3,1,2,17,2,1,1,0,0
2008,Wyoming                                                     ,5,4,3,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,U.S. and outlying areas                                     ,"5,008","3,403","2,378","3,041",308,150,72,"1,455","8,773","6,054","3,201","2,011","2,853","2,235","2,719","18,020","7,938","2,090","2,904","1,328",877,"12,514",312,128,73,32,5
2008,"50 states, D.C., and P.R. (including BIE scho               ","4,983","3,379","2,359","3,019",306,150,72,"1,454","8,763","6,045","3,196","2,006","2,849","2,231","2,718","18,009","7,936","2,088","2,901","1,326",876,"12,507",312,128,73,32,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -  Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
