Created,7/10/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,1/26/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,4/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State, Written Signed Complaints Total (1),WSC With Reports Issued Total (1.1),WSC Reports with Finding (1.1a),WSC Reports with Timelines (1.1b),WSC Reports with Extended Timelines (1.1c),WSC Withdrawn or Dismissed Total (1.2),WSC Pending Total (1.3), WSC Pending a due Process Hearing (1.3a), Mediation Requests total (2), Mediations Total (2.1), Mediations Related to due Process (2.1a), Mediations Related to due process - Agreements (2.1ai), Mediations not Related to due Process (2.1b), Mediations not Related to due process - Agreements (2.1bi), Mediations not Held (including pending) Total (2.2),Hearing Requests Total (3),HR - Resolution Sessions Total (3.1), HR - Resolutions - Settlement Agreements (3.1a),Hearings (fully adjudicated) Total (3.2),"Hearings - Decisions w/i Timeline 
(3.2a)","Hearings - Decisions w/i Extended Timeline 
(3.2b)",HR - Resolved without a Hearing Total (3.3),Expedited Hearing Requests Total (4),EHR - Resolution Sessions Total (4.1),Resolution Sessions - Settlement Agreements (4.1a),EHR - Expedited Hearings (fully adjudicated) Total ,EHR - Expedited Hearings - Change of Placement Ordered (4.2a)
2006,North Dakota                                 ,3,3,3,3,0,0,0,0,3,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,Northern Marianas                            ,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Ohio                                         ,166,97,54,72,18,67,2,2,131,131,50,22,81,68,0,206,77,55,13,1,12,116,18,17,16,1,0
2006,Oklahoma                                     ,53,39,39,39,0,13,1,1,28,12,0,0,12,8,16,23,10,8,1,1,0,22,2,2,2,0,0
2006,Oregon                                       ,47,27,20,14,13,17,3,0,69,36,8,6,28,22,33,29,14,4,2,0,2,19,1,1,1,0,0
2006,Pennsylvania                                 ,335,204,157,204,0,118,13,13,304,158,21,18,137,105,146,739,255,127,81,28,53,531,27,10,4,5,1
2006,Puerto Rico                                  ,102,102,66,57,1,0,0,0,798,437,407,225,30,28,361,"1,698",24,12,"1,271",654,0,238,0,0,0,0,0
2006,Rhode Island                                 ,59,53,53,51,0,6,0,0,91,71,2,1,69,56,20,47,         -,3,9,5,4,34,0,0,0,0,0
2006,South Carolina                               ,119,39,33,29,5,80,0,0,2,2,1,0,1,1,0,14,9,4,4,3,1,10,2,0,0,0,0
2006,South Dakota                                 ,4,1,1,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0
2006,Tennessee                                    ,98,84,84,76,8,14,0,0,35,27,11,7,16,11,8,48,20,11,3,0,3,29,0,0,0,0,0
2006,Texas                                        ,450,171,114,166,5,256,23,17,238,145,75,60,70,47,93,329,240,49,45,5,40,258,10,6,4,0,0
2006,Utah                                         ,9,7,4,6,1,2,0,0,3,3,1,1,2,1,0,7,7,7,0,0,0,0,0,0,0,0,0
2006,Vermont                                      ,7,5,3,5,0,2,0,0,40,33,13,11,20,19,7,26,8,2,4,1,3,22,1,0,0,1,1
2006,Virgin Islands                               ,12,8,8,7,0,0,4,0,9,7,7,7,0,0,2,4,0,0,3,2,0,1,0,0,0,0,0
2006,Virginia                                     ,115,84,46,59,25,31,0,0,129,101,21,6,80,77,28,69,39,17,8,8,0,48,7,3,1,1,0
2006,Washington                                   ,82,70,53,56,9,11,1,0,104,46,12,10,34,28,58,122,88,17,13,2,11,106,12,12,3,0,0
2006,West Virginia                                ,48,24,21,11,13,24,0,0,6,4,2,0,2,2,2,14,6,6,1,0,1,12,2,2,2,0,0
2006,Wisconsin                                    ,79,59,42,52,4,20,0,0,88,57,5,3,52,47,31,32,12,8,3,0,3,15,1,1,1,0,0
2006,Wyoming                                      ,5,3,3,3,0,2,0,0,1,1,1,1,0,0,0,8,2,2,2,1,1,4,0,0,0,0,0
2006,"50 States, D.C. and P.R. (including BIE Schools)","5,627","3,891","2,600","3,256",402,"1,569",167,86,"8,633","5,826","2,863","1,385","2,963","2,285","2,807","18,351","9,843","2,026","4,534","1,960",988,"11,809",348,190,98,96,34
2006,U.S. and Outlying Areas,"5,646","3,905","2,613","3,269",402,"1,570",171,86,"8,644","5,835","2,870","1,392","2,965","2,287","2,809","18,358","9,845","2,027","4,537","1,962",988,"11,812",348,190,98,96,34
 -------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -  Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
